Timestamp,Open,High,Low,Close,Volume,Quote Asset Volume,Number of Trades,Taker Buy Asset Volume,Taker Quote Asset Volume
1587559020000,15.2847,15.29,15.28,15.2804,360.37,5508.903482,25.0,140.15,2142.878305
1587559080000,15.2808,15.2921,15.2808,15.2872,145.34,2221.904083,13.0,101.34,1549.297636
1587559140000,15.2913,15.2913,15.2801,15.29,221.99,3392.687692,30.0,32.01,489.395739
1587559200000,15.2823,15.3019,15.2823,15.3019,1635.49,25010.284381,77.0,1626.84,24878.068436
1587559260000,15.3052,15.3192,15.297,15.311,512.49,7846.61166,49.0,474.0,7257.292832999998
1587559320000,15.3106,15.3186,15.3031,15.3099,270.83,4147.282865,26.0,169.22,2591.947102
1587559380000,15.3028,15.3101,15.2921,15.31,1380.09,21120.173738,61.0,999.82,15301.010733000001
1587559440000,15.3158,15.3183,15.3034,15.3034,1141.16,17471.931856,29.0,127.76,1956.804366
1587559500000,15.3075,15.3129,15.3033,15.3033,101.58,1555.250445,18.0,65.35,1000.642744
1587559560000,15.3095,15.3128,15.3042,15.3098,118.42,1812.9912129999998,18.0,89.0,1362.612446
1587559620000,15.309000000000001,15.3125,15.307,15.3114,702.83,10760.368531,19.0,537.58,8230.104408
1587559680000,15.3114,15.315999999999999,15.3114,15.3116,820.91,12569.871093000002,24.0,523.2,8011.227256
1587559740000,15.3115,15.32,15.3114,15.32,683.54,10467.074848999999,22.0,166.52,2550.722694
1587559800000,15.32,15.3283,15.32,15.3236,217.0,3325.753569,36.0,162.17,2485.481443
1587559860000,15.3233,15.3237,15.32,15.3218,316.99,4857.344452,37.0,194.19,2975.658769
1587559920000,15.3202,15.3211,15.3117,15.32,885.29,13557.503922,39.0,321.4,4921.8522619999985
1587559980000,15.32,15.3218,15.3185,15.32,191.88,2939.727213,13.0,73.5,1126.03269
1587560040000,15.32,15.3241,15.3155,15.3211,581.68,8911.44872,26.0,471.77,7227.7682840000025
1587560100000,15.3211,15.325999999999999,15.3158,15.3228,127.47,1952.856938,24.0,88.84,1361.155666
1587560160000,15.315999999999999,15.3274,15.315999999999999,15.321,167.91,2572.692697,22.0,90.23,1382.622149
1587560220000,15.3204,15.3461,15.3203,15.3346,10350.39,158774.033417,112.0,898.49,13777.296446
1587560280000,15.34,15.3514,15.3345,15.3509,716.87,10999.533797,47.0,480.36,7370.653739
1587560340000,15.3509,15.3535,15.3347,15.3534,1250.37,19184.757999,55.0,570.93,8762.011559
1587560400000,15.3535,15.3568,15.3433,15.3509,10000.11,153499.975838,49.0,422.54,6487.579534
1587560460000,15.3518,15.3527,15.3436,15.3474,471.94,7243.130465,27.0,149.31,2292.066583
1587560520000,15.3476,15.3499,15.3425,15.3478,330.34,5069.646219,17.0,14.3,219.49845200000001
1587560580000,15.3482,15.3592,15.347999999999999,15.3536,1312.8,20157.11676,58.0,1196.14,18366.368374
1587560640000,15.3491,15.3613,15.3489,15.3489,1540.64,23655.265401,48.0,660.0,10133.877779
1587560700000,15.3499,15.35,15.3414,15.3481,952.14,14611.621928,36.0,346.74,5322.397056
1587560760000,15.3457,15.3457,15.3346,15.3346,694.21,10648.392988,35.0,323.08,4956.198544
1587560820000,15.3341,15.3384,15.3331,15.3374,335.63,5146.731027000002,20.0,56.41,865.2368210000003
1587560880000,15.3394,15.3394,15.33,15.33,764.54,11723.989504000001,20.0,156.22,2396.140214
1587560940000,15.3328,15.345,15.3328,15.3383,926.1,14203.598531,28.0,348.61,5345.48694
1587561000000,15.3423,15.3434,15.3393,15.3434,136.59,2095.440664,7.0,55.67,854.113937
1587561060000,15.3436,15.3436,15.3436,15.3436,27.6,423.48335999999995,1.0,27.6,423.48335999999995
1587561120000,15.35,15.3599,15.3487,15.3507,748.18,11486.381617,41.0,307.88,4727.32105
1587561180000,15.3588,15.3622,15.3501,15.3544,827.75,12712.250141,60.0,618.06,9493.285464
1587561240000,15.3602,15.3705,15.3602,15.37,1161.79,17854.06279,67.0,518.14,7962.431742
1587561300000,15.3677,15.3714,15.3651,15.3688,952.94,14643.964304,53.0,278.17,4274.699924000001
1587561360000,15.3697,15.3794,15.3688,15.3753,1572.66,24175.354391,73.0,941.43,14473.762659
1587561420000,15.3753,15.4099,15.3747,15.4,21871.95,336790.925528,324.0,8614.76,132638.525816
1587561480000,15.3984,15.4462,15.3984,15.4418,4684.49,72236.743044,273.0,3859.74,59512.01630800001
1587561540000,15.4418,15.47,15.4188,15.4564,15952.39,246272.383919,314.0,3462.14,53460.055589
1587561600000,15.462,15.5,15.457,15.5,10960.94,169703.836697,475.0,6625.73,102605.650088
1587561660000,15.4929,15.55,15.4847,15.5498,32810.58,508704.296741,676.0,9891.37,153507.111656
1587561720000,15.5498,15.5678,15.5193,15.5298,7868.47,122293.175325,336.0,5217.96,81114.842156
1587561780000,15.5289,15.535,15.4847,15.4847,5185.72,80410.04857,203.0,1410.98,21892.380847
1587561840000,15.4887,15.5584,15.4847,15.5502,14743.69,228782.588875,311.0,5868.19,91121.663024
1587561900000,15.5503,15.5663,15.5326,15.55,25080.66,390023.500084,178.0,3959.14,61569.885126
1587561960000,15.55,15.5762,15.5499,15.5762,6113.59,95139.764244,214.0,3979.49,61940.258739
1587562020000,15.5701,15.581,15.486,15.4898,23653.17,367852.778495,290.0,2669.53,41401.171178
1587562080000,15.49,15.51,15.4861,15.5064,2999.01,46500.396618,105.0,1722.35,26704.324322
1587562140000,15.5074,15.5251,15.5033,15.525,1267.99,19672.778458,69.0,616.74,9569.380246
1587562200000,15.5247,15.6078,15.5246,15.6015,10525.5,164040.06146700002,444.0,6658.24,103781.097809
1587562260000,15.6015,15.6289,15.5587,15.5587,15888.14,247873.304188,455.0,10981.9,171334.682206
1587562320000,15.5561,15.5824,15.5448,15.5448,15171.64,236048.675227,243.0,4051.53,63067.988612
1587562380000,15.543,15.5468,15.52,15.5414,2809.35,43625.922268,135.0,1191.43,18499.999587
1587562440000,15.5414,15.5414,15.51,15.52,2528.46,39251.824549,131.0,440.15,6830.089161
1587562500000,15.5188,15.5611,15.51,15.5575,2309.14,35864.565837,117.0,1341.26,20835.895858
1587562560000,15.5575,15.5611,15.5468,15.5468,4354.85,67755.96236599999,112.0,3004.31,46748.509988
